agent_code,description,agent_type
CHCOR,"COMERCIALIZADOR DE REFERENCIA ENERGÉTICO, S.L.U",COMERCIALIZADOR ULTIMO RECURSO
CHDUE,CONFEDERACION HIDROGRAFICA DEL DUERO,GENERACIÓN
CHEBR,CONFEDERACIÓN HIDROGRÁFICA DEL EBRO,GENERACIÓN
CHERA,ELECTRICA SOT DE CHERA,COMERCIALIZADOR
CHPED,CENTRAL HIDROELECTRICA SAN PEDRO DE ARAIA S.A.,COMERCIALIZADOR
CHURC,"CHURCH ENERGY, S.L.",COMERCIALIZADOR
CHURR,"PRODUCTOS CHURRUCA, S.A.",CONSUMIDOR DIRECTO
CIEN,CIENER S.A.,GENERACIÓN RECORE
CIMA,CIMA ENERGIA COMERCIALIZADORA SL,COMERCIALIZADOR
CINSE,PARQUE EOLICO CINSEIRO,GENERACIÓN RECORE
CLADA,CLADA SLU,CONSUMIDOR DIRECTO
CLEAN,"ZERO WASTE BIOENERGY CASTILLA LA MANCHA, S.L.",GENERACIÓN
CLEAR,CLEARVIEW ENERGY SL.,COMERCIALIZADOR
CLHSA,"COMPAÑIA LOGÍSITCA DE HIDROCARBUROS CLH, S.A.",CONSUMIDOR DIRECTO
CLIDM,HOLALUZ-CLIDOM SA,COMERCIALIZADOR
CLIDP,CLIDOMER UNIPESSOAL LDA,COMERCIALIZADOR
CMINE,"HIDROELECTRICA COTO MINERO, S.A.",GENERACIÓN RECORE
CMORE,"MOLINOS DEL CERRO MORENO, S.L.",GENERACIÓN RECORE
CMORO,PARC EOLIC COLL DEL MORO SLU,GENERACIÓN RECORE
CMT,"COGENERACIÓN MOTRIL, S.A.",GENERACIÓN
COALG,"COMERCIALIZADORA SUM ESP ALGINETENSES, S.L.",COMERCIALIZADOR
COBUR,"COGENERADORA BURGALESA, S.L.",GENERACIÓN
CODOR,ENERGIA COSTA DORADA SLU,COMERCIALIZADOR
COELD,ELECTRICA DE GUADASSUAR COOP. V.,COMERCIALIZADOR
COFRE,"PARQUE EÓLICO COFRENTES, S.L.U.",GENERACIÓN
COGEN,ENERGY BY COGEN,COMERCIALIZADOR
COHID,CORTIZO HIDROELÉCTRICA,GENERACIÓN RECORE
COLCR,"COBRE LAS CRUCES, S.A.U.",CONSUMIDOR DIRECTO
COLIV,"PARQUE EOLICO CERRO OLIVA, S.L.",GENERACIÓN RECORE
COLOM,FIESTA COLOMBINA S.L,CONSUMIDOR DIRECTO
COMBU,COMBUSTIBLES DEL CANTABRICO S.L,CONSUMIDOR DIRECTO
COMCH,COMERCIALIZADORA LA CHISTABINA S.L.U,COMERCIALIZADOR
COMED,"COMERCIALIZADORA ELECTRICA DE TENERIFE, S.L.",COMERCIALIZADOR
COMEE,"COMERCIALIZADORA DE ENERGÍA TRANSPARENTE, SL",COMERCIALIZADOR
COMEF,COMERCIALIZADORA DE ENERGIAS RENOVABLES Y DE SERVI,COMERCIALIZADOR
COMER,COMERCAST ENERGIAS S.L.,COMERCIALIZADOR
COMPA,COMPAÑIA CASTELLANA DE COMERCIALIZACION ELECTRICA,COMERCIALIZADOR
COMS,PARC EÓLICO LES COMES,GENERACIÓN RECORE
CONAV,COGENERACIÓN DE NAVIA,GENERACIÓN RECORE
CONEC,CONECTA2 ENERGIA SL,COMERCIALIZADOR
CONFE,"CONFEDERACIÓN HIDROGRÁFICA DEL MIÑO-SIL, O.A",GENERACIÓN
CONFI,"CONFIREL, A.I.E.",GENERACIÓN
CONOR,COGENERACIÓN DEL NOROESTE,GENERACIÓN RECORE
CONSB,"CONSULTING AND MANAGEMENT GREEN ENERGY, SL",COMERCIALIZADOR
CONTA,TUNERGIA EFICIENCIA ENERGETICA Y RENOVABLE S.L.,COMERCIALIZADOR
CONV,PARQUE EOLICO CORRAL NUEVO,GENERACIÓN RECORE
CONVA,CONVA LITERA S.L.,GENERACIÓN
COOPB,SOCIEDAD COOP AGRARIA (SAN MARTIN) DE BELCHITE,CONSUMIDOR DIRECTO
CORCO,"DESIMPACTE DE PURINS CORCO, S.A.",GENERACIÓN RECORE
COREN,COOPERATIVAS ORENSANAS,GENERACIÓN RECORE
COREY,"COREYSA COGENERACIÓN, S.A.",GENERACIÓN RECORE
CORPO,"CORPOLUX, S.L.",COMERCIALIZADOR
CORTE,AGUAS DE CORTES S.A.,CONSUMIDOR DIRECTO
COTIR,"SOCIETAT MUNICIPAL DE COM. ELECTRICA DE TIRVIA, S.L.",COMERCIALIZADOR
COVAP,SDAD.COOP.AND.GANADERA DEL VALLE DE LOS PEDROCHES,GENERACIÓN RECORE
COVI,"COGENERACIÓN VILLARICOS, S.A.",GENERACIÓN
COVIS,COVISLAN,GENERACIÓN RECORE
CPAR,CENPAR,GENERACIÓN RECORE
CPG,"COMPACGLASS, S.L.",GENERACIÓN
CPNO,"Eólica Campollano, S.A.",GENERACIÓN RECORE
CRADO,"EOLICA DE RADONA, SL",GENERACIÓN RECORE
CRCES,COMUNIDAD DE REGANTES DEL CANAL DE ESTREMERA,CONSUMIDOR DIRECTO
CREAE,"CREAENERGIA ECO, S.L.U.",COMERCIALIZADOR
CRESO,CRECE SOLUCIONES DE ENERGÍA SL,COMERCIALIZADOR
CRNOR,CERANOR,GENERACIÓN RECORE
CRUZC,PARQUE EÓLICO CRUZ DE CARRUTERO,GENERACIÓN RECORE
CRVIG,COMUNIDAD REGANTES VALLE INFERIOR GUADALQUIVIR,CONSUMIDOR DIRECTO
CSEUS,ZERO WASTE COGENERACION EUSKADI SL,GENERACIÓN
CTNU,ENGIE CASTELNOU,GENERACIÓN
CUENC,"ENERGÍAS EÓLICAS DE CUENCA, S.A.",GENERACIÓN RECORE
CUNC,"ELECTRA CUNTIENSE COMERCIALIADORA, S.L.U.",COMERCIALIZADOR
CUPA,CUPIRE PADESA S.L,CONSUMIDOR DIRECTO
CUR,PARQUE EÓLICO DE CURRÁS,GENERACIÓN RECORE
CUVER,"CUVER DESTELLA ENERGIA, SL.",COMERCIALIZADOR
CYDAE,"COMERCIAL Y ASESORA DE ELECTRICIDAD, S.L.",COMERCIALIZADOR
CYDDP,IGNIS GENERACIÓN S.L.,GENERACIÓN
CYE,CYE ENERGIA S.L.,COMERCIALIZADOR
CZFV,CONSORCIO ZONA FRANCA DE VIGO,CONSUMIDOR DIRECTO
DAIMU,DAIMUZ ENERGIA SL,COMERCIALIZADOR
DANOS,"DERIVADOS ASFÁLTICOS NORMALIZADOS, S.A.",CONSUMIDOR DIRECTO
DANTA,DANTA DE ENERGÍAS,GENERACIÓN RECORE
DARUZ,"PIENSOS DARUZ, S.L.",CONSUMIDOR DIRECTO
DAVIN,DA VINCI ENERGIA,GENERACIÓN
DCH,DULCES Y CONSERVAS HELIOS S.A.,GENERACIÓN
DEBAR,DEBARU ENERGIA SL,COMERCIALIZADOR
DEBRO,DESARROLLO EOLICO DEL EBRO,GENERACIÓN RECORE
DEMAV,"DESARROLLO EÓLICO LAS MAJAS V, S.L.",GENERACIÓN
DEMEA,"DEMETER ENERGÍA, S.L.U.",GENERACIÓN
DEPOA,DEPORTIVO ALAVES SAD,CONSUMIDOR DIRECTO
DEPON,"ENERGIAS DE PONTEVEDRA, S.L.",GENERACIÓN RECORE
DERMO,"DERIVADOS DEL MONTE, S.L.",GENERACIÓN
DETIC,"MOEVE GAS AND POWER, S.A.U",COMERCIALIZADOR
DEVA,PARQUE EÓLICO DE DEVA,GENERACIÓN RECORE
DEVIL,"PARQUES EOLICOS DE VILLANUEVA, S.L.",GENERACIÓN RECORE
DIELE,DISA ENERGIA ELECTRICA SLU,COMERCIALIZADOR
DILUZ,DILUZ COMERCIALIZADORA DE ELECTRICIDAD S.L.,COMERCIALIZADOR
DIPBA,DIPUTACION PROVINCIAL DE BADAJOZ,CONSUMIDOR DIRECTO
DIREA,DIRECT GREEN,COMERCIALIZADOR
DISCA,DISCONGEL S.A.,CONSUMIDOR DIRECTO
DIVIC,DIVICONSULTING ENERGIA S.L,COMERCIALIZADOR
DLSTE,ENERGÉTICA DEL ESTE S.L,COMERCIALIZADOR
DMAIV,"DESARROLLO EÓLICO LAS MAJAS IV, S.L.",GENERACIÓN
DOLNO,DOLOMITAS DEL NORTE S.A.,CONSUMIDOR DIRECTO
DONBE,"DON BELTRAN MARKET, S.L.",COMERCIALIZADOR
DREUA,"FOENER ENERGÍA, S.L.",COMERCIALIZADOR
DRK,"DRK ENERGY, S.L.",COMERCIALIZADOR
DSMAR,3D SMART ENERGY S.L.,COMERCIALIZADOR
DUERO,DUEROLUZ ENERGIA SL,COMERCIALIZADOR
DUFEA,DUFERCO ENERGIA S.P.A.,COMERCIALIZADOR
DUFER,DXT COMMODITIES SA,COMERCIALIZADOR
DXD,DX COMERCIALIZADORA ENERGETICA SA,COMERCIALIZADOR
DYNEF,DYNEFF ESPAÑA SL,COMERCIALIZADOR
DYNEL,"DYNASOL ELASTOMEROS, S.A.U.",CONSUMIDOR DIRECTO
EALB,"ELECTRICA ALBATERENSE, S.L.",COMERCIALIZADOR
EAM01,ELECTRA ALTO MIÑO COMERCIALIZADORA DE ENEGÍA,COMERCIALIZADOR
EAS,"ENERGÍAS AMBIENTALES DE SOMOZAS, S.A.",GENERACIÓN RECORE
EBAN,"EÓLICA LA BANDERA, S.L.",GENERACIÓN RECORE
EBIAR,ELECTRICA NUESTRA SEÑORA DE GRACIA SCV,COMERCIALIZADOR
EBLCO,"ENGIE ESPAÑA,S.L.U",COMERCIALIZADOR
EBRO,"EOLICA DEL EBRO, S.A.",GENERACIÓN RECORE
EBROE,"EBROENERGIA COMERCIALIZADORA, S.L.",COMERCIALIZADOR
ECAB,"EOLICA CABANILLAS, S.L.",GENERACIÓN RECORE
ECADZ,"COMERCIALIZADORA ELECTRICA DE CADIZ, S.A.",COMERCIALIZADOR
ECAL,"ELECTRA CALDENSE ENERGIA, S.A.",COMERCIALIZADOR
ECAP,"EOLICA CAPARROSO, S.L.",GENERACIÓN RECORE
ECATA,PARQUE EOLICO SANTA CATALINA SL,GENERACIÓN RECORE
ECE,"ELECTRA DEL CARDENER ENERGIA, SAU",COMERCIALIZADOR
ECL,"ENERGÍA DE CASTILLA Y LEÓN, S.A.",GENERACIÓN RECORE
ECOCH,"ECO CHOICE,SA",COMERCIALIZADOR
ECOE,"ECOCARBURANTES ESPAÑOLES, S.A.",GENERACIÓN RECORE
ECOFU,ECOFUTURA LUZ ENERGIA S.L.,COMERCIALIZADOR
ECOIM,ECOLOGICA IBERICA Y MEDITERRANEA SA,CONSUMIDOR DIRECTO
ECOLE,ENERGIA COLECTIVA S.L.,COMERCIALIZADOR
ECOLO,ECOLOGIA QUIMICA SA,CONSUMIDOR DIRECTO
ECON,"ECONACTIVA, S.COOP. DE C-LM",COMERCIALIZADOR
ECOND,"ARSUS ENERGIA, S.L.",COMERCIALIZADOR
ECOTH,ECOTHERMIC XXI SL,COMERCIALIZADOR
ECOVE,ECOVERGY RENOVABLES,COMERCIALIZADOR
ECO1,"ECOPARC DE BARCELONA, S.A.",GENERACIÓN RECORE
ECO2,"ECOPARC DEL BESOS, S.A.",GENERACIÓN RECORE
ECYR,ENEL GREEN POWER ESPAÑA SL (ACT: COM RE),GENERACIÓN RECORE
EDFAC,E.D.F.A. CASABLANCA S.COOP.V.,COMERCIALIZADOR
EDFAS,"COOP.VCIANA.E.D.F.A. SERRALLO, S.COOP.V.",COMERCIALIZADOR
EDFT,EDF TRADING LIMITED,COMERCIALIZADOR
EDP,EDP COMERCIAL COMERCIALIZACAO DE ENERGIA SA,COMERCIALIZADOR
EDPCL,"EDP CLIENTES, S.A.U.",COMERCIALIZADOR
EDPGM,EDP GEM PORTUGAL S.A.,COMERCIALIZADOR
EDPGP,"EDP, S.A.",GENERACIÓN
EDPRE,EDP RENOVABLES ESPAÑA,GENERACIÓN RECORE
EDPSU,"SU ELETRICIDADE, S.A.",COMERCIALIZADOR ULTIMO RECURSO
EDUL,"EOLICA DULCINEA, S.L.",GENERACIÓN RECORE
EEAL,NATURGY VENTO SAU,GENERACIÓN RECORE
EEC,"ENERGÍAS ESPECIALES DE CAREÓN, S.A.",GENERACIÓN RECORE
EECAT,ENERGIAS EOLICAS DE CATALUNYA,GENERACIÓN RECORE
EEK,"EÓLICAS DE EUSKADI, S.A.",GENERACIÓN RECORE
EEMC,"ENERGIAS ESPECIALES MONTES CASTELLANOS, S.L.",GENERACIÓN RECORE
EEN,"ELECTRA ENERGIA, S.A.U.",COMERCIALIZADOR
EENER,MAGNON GREEN ENERGY SL,REPRESENTANTE
EEREN,"ENDESA ENERGIA RENOVABLE, S.L.U.",COMERCIALIZADOR
EESU,EXPLOTACIONES EÓLICAS SIERRA DE UTRERA,GENERACIÓN RECORE
EEXXI,"ENERGÍA XXI COMERCIALIZADORA DE REFERENCIA, S.L.",COMERCIALIZADOR ULTIMO RECURSO
EFG,FACTOR ENERGIA (ACT. GENERACIÓN),COMERCIALIZADOR
EFIDU,EFIDUERO ENERGY SCEL,COMERCIALIZADOR
EFIRA,EFIRAM PATRIMONIO SL,COMERCIALIZADOR
EGA,"BIOENERGÉTICA EGABRENSE, S.A.",GENERACIÓN
EGALE,"ENERXIA GALEGA MAIS, S.L.",COMERCIALIZADOR
EGAZE,ENERGAZE SL,COMERCIALIZADOR
EGED,ACCIONA GREEN ENERGY DEVELOPMENTS (ACT. COMERCI,COMERCIALIZADOR
EGEN,ELECTRICA DE GUIXES ENERGIA,COMERCIALIZADOR
EGLE,"AXPO IBERIA, S.L.",COMERCIALIZADOR
EGRAU,ENERGÍAS DE GRAUS,GENERACIÓN RECORE
EGREN,ENERGREEN MOBILITY S.L,CONSUMIDOR DIRECTO
EGSGE,"EGSG ELECTRIK N1, S.L.",COMERCIALIZADOR
EHN,ACCIONA GENERACIÓN RENOVABLE S.A.,GENERACIÓN RECORE
EINDE,ENERGY INDEX SL,COMERCIALIZADOR
EISSA,EISSL EOLICA SL,GENERACIÓN
EKHIN,"EKHINEO ENERGÍA, S.L.",COMERCIALIZADOR
EKORE,ENERKORE SL,COMERCIALIZADOR
ELALG,ELECTRICA ALGIMIA DE ALFARA,COMERCIALIZADOR
ELALM,ELECTRICITAT D ALMENAR S.L.,COMERCIALIZADOR
ELAS,"ELECDEY ASCOY, S.A.",GENERACIÓN RECORE
ELAVE,"ELECTRA AVELLANA COMERCIAL, S.L",COMERCIALIZADOR
ELBEN,ELECTRICA BENASQUE S.L.,COMERCIALIZADOR
ELCAT,"DISTRIBUIDORA ELÉCTRICA DE CATOIRA, S.A",COMERCIALIZADOR
ELECB,"ELECBALEAR,S.L.",COMERCIALIZADOR
ELECN,"ELECNOVA SIGLO XXI, S.L.",COMERCIALIZADOR
ELEGA,ELEGA ENERGIA,COMERCIALIZADOR
ELEIA,"ELECTRICIDAD ELEIA, S.L.U.",COMERCIALIZADOR
ELEK,ELEK COMERCIALIZADORA ELECTRICA SL,COMERCIALIZADOR
ELERG,ELERGONE ENERGIA SA,COMERCIALIZADOR
ELESU,COMERCIALIZADORA ELECTRICA SUDANELL S.L.U.,COMERCIALIZADOR
ELITE,ELITE BIOENERGIA S.L.,COMERCIALIZADOR
ELMED,ELABORADOS CARNICOS MEDINA S.A.,CONSUMIDOR DIRECTO
ELMEG,ELMEG IBERICA SLU,CONSUMIDOR DIRECTO
ELMON,COM. ELECTRICA DE MONTOLIU DE LLEIDA S.L.U,COMERCIALIZADOR
ELPOP,"ELECTRICA POPULAR, S.COOP.MAD",COMERCIALIZADOR
ELSJ,ELYO SANT JOAN,GENERACIÓN RECORE
ELTED,ELECTED ENERGY SL,COMERCIALIZADOR
ELTES,ELTE SOFTWARE SL,COMERCIALIZADOR
ELUZE,"E-LUZ ENERGY SOLUTIONS, S.L.",COMERCIALIZADOR
ELVA1,"ALDEA CLIENTES, S.L.",COMERCIALIZADOR
ELVA2,"ELEVA 2 COMERCIALIZADORA, S.L.",COMERCIALIZADOR
ELVIS,"ELVISA SOLAR, S.L.",GENERACIÓN
ELYM,COFELY ENERGIA  MARTORELL,GENERACIÓN
EMASA,EMPRESA MUNICIPAL DE AGUAS DE MALAGA SA,GENERACIÓN RECORE
EMBU,EMBUTIDOS RODRIGUEZ S.L,CONSUMIDOR DIRECTO
EMC,"EOLICA MONTES DE CIERZO, S.L.",GENERACIÓN RECORE
EMCSL,EMOCION SOLAR S.L.,GENERACIÓN
EMELI,ELÉCTRICA DE MELIANA,COMERCIALIZADOR
EMES,EMILIO ESTEBAN S.A,CONSUMIDOR DIRECTO
EMEST,"ELECTRA MESTRAL, S.L.",GENERACIÓN RECORE
EMON,EOLICA DEL MONCAYO,GENERACIÓN RECORE
ENAGA,"ENAGAS, S.A.",GENERACIÓN RECORE
ENARA,"ENARA GESTIÓN Y MEDIACIÓN, SL",COMERCIALIZADOR
ENCAL,ENERGÍAS NATURALES EL NEGREDO,GENERACIÓN RECORE
ENCEG,ENCE ENERGIA Y CELULOSA,REPRESENTANTE
ENCHU,"ENCE ENERGIA HUELVA DOS, S.L.U",GENERACIÓN
ENCIE,"ENCIENDETENERGIA, S.L.",COMERCIALIZADOR
ENCRI,"ENERCRISA, S.A.",GENERACIÓN RECORE
ENDCO,"ENDESA ENERGÍA, S.A.U.",COMERCIALIZADOR
ENDEE,ENERGIAS DE ESCARRILLA SL,COMERCIALIZADOR
ENDEP,ENERGIAS DE PANTICOSA COMERCIALIZADORA SL,COMERCIALIZADOR
ENDG,"ENDESA GENERACIÓN, S.A.",GENERACIÓN
ENDI,ENDI ENERGY TRADING SL,COMERCIALIZADOR
ENDP,"ENDESA ENERGIA, SUCURSAL EN PORTUGAL",COMERCIALIZADOR
ENEAC,ENERGIAS DEL ZINQUETA COMERCIALIZADORA SLU,COMERCIALIZADOR
ENEDB,ENERGIAREA EUROPE SL,COMERCIALIZADOR
ENEDG,ENERGÍA ÚNICA SOLUCIONES INTEGRALES SL,COMERCIALIZADOR
ENEDH,ENERMIA COMERCIALIZADORA ELECTRICA SL,COMERCIALIZADOR
ENEDJ,"ENERGIES RENOVABLES PÚBLIQUES DE CATALUNYA, S.A.U.",COMERCIALIZADOR
ENEDK,ENERGETICA HOTELERA S.L.,COMERCIALIZADOR
ENEEX,ENERGÍA GAS AL-ANDALUS SL,COMERCIALIZADOR
ENEFI,"ENERFIA, S.L.",COMERCIALIZADOR
ENEPL,"ENERGY PLUS IBERIA, S.L.",COMERCIALIZADOR
ENERG,XENERA COMPAÑIA ELECTRICA S.A.,COMERCIALIZADOR
ENERP,"SOLABRIA, S. COOP.",COMERCIALIZADOR
ENERV,"ENERVENT, S.A.",GENERACIÓN RECORE
ENERY,ENERGIA ECOLOGICA ECONOMICA SL,COMERCIALIZADOR
ENEST,ENERGY SOLAR TECH S.A.,CONSUMIDOR DIRECTO
ENETI,"ENERTIA GROUP, S.L.",COMERCIALIZADOR
ENEXS,ENEX SOCIAL ENERGY SL,COMERCIALIZADOR
ENFOR,ENFORCESCO SA,COMERCIALIZADOR
ENGA,"ENERGÍA DE GALICIA, S.A.",GENERACIÓN RECORE
ENGAS,"ENGASA EÓLICA, S.A.",GENERACIÓN RECORE
ENGEL,ENGEL COMERCIALIZADORA SL,COMERCIALIZADOR
ENGIE,"ENGIE COMERCIALIZACAO DE ENERGIA, LDA",COMERCIALIZADOR
ENGNE,"CAPWATT RETAIL ELECTRICIDADE PT, S.A.",COMERCIALIZADOR
ENMAN,"ENERGÍAS DE LA MANCHA, S.A.",GENERACIÓN RECORE
ENMED,COMERCIALIZADORA DE ELECTRICIDAD Y GAS DEL MEDITER,COMERCIALIZADOR
ENNEG,"ENERGÍAS NATURALES LA CALZADA, S.L.",GENERACIÓN RECORE
ENPEN,"ENERPLUS ENERGIA, S.A.",COMERCIALIZADOR
ENPHA,ENTECO PHARMA S.L,CONSUMIDOR DIRECTO
ENRES,"ENERGY RESOURCES, S.A.",GENERACIÓN RECORE
ENRNV,ENERGÍAS RENOVADORAS SL,COMERCIALIZADOR
ENSAV,ENERGYSAVE PROJECTS S.L.,COMERCIALIZADOR
ENTXX,ENTECO EXTREMADURA S.L,CONSUMIDOR DIRECTO
ENUFR,ENERGIA NUFRI SLU,COMERCIALIZADOR
ENVER,ENERVER ENERGIA SL,COMERCIALIZADOR
ENVIT,ENVITERO SOLAR S.L.,GENERACIÓN
EOLPI,"EÓLICA DEL PINO, S.L.",GENERACIÓN RECORE
EOLZO,"EOLICA DE ZORRAQUIN, S.L.",GENERACIÓN RECORE
EONR,"VIESGO RENOVABLES, S.L.",GENERACIÓN RECORE
EONUR,"REGSITI COMERCIALIZADORA REGULADA, S.L.U.",COMERCIALIZADOR ULTIMO RECURSO
EOP20,ENERGIA OPERATIVA S.L.,COMERCIALIZADOR
EOURO,"ENERGÍAS DE OUROL, S.L.",GENERACIÓN RECORE
EO200,EOLICA 2000 S.L.,GENERACIÓN RECORE
EPAC,"EPAC SOLUCIONES ENERGETICAS, S.L.",COMERCIALIZADOR
EPCSA,"ENERGIA PORTATIL COGENERACION, S.A.",GENERACIÓN RECORE
EPERE,EOLICA DEL PERELLO SL,GENERACIÓN RECORE
EPILA,ESTAMPACIONES MÉTALICAS ÉPILA SA,CONSUMIDOR DIRECTO
EPL,EOS PAX IIA,GENERACIÓN RECORE
EPP,"EÓLICAS PÁRAMO DE POZA, S.A.",GENERACIÓN RECORE
EPRSA,"EPRESA ENERGÍA, S.A.",COMERCIALIZADOR
EQNB,ELECTROQUIMICA ONUBENSE S.L.U.,CONSUMIDOR DIRECTO
EQUAN,"EQUANIMITYENERGY TO GO, SLU",COMERCIALIZADOR
ERESM,"DESIMPACTO DE PURINES ERESMA, S.A.",GENERACIÓN RECORE
EROUT,ELECTROROUTE ENERGY TRADING LIMITED,COMERCIALIZADOR
ERRM,"ENERGÍAS RENOVABLES DE LA REGIÓN DE MURCIA, S.A.",GENERACIÓN RECORE
ERUNI,"GREENVOLT COMUNIDADES, SA",COMERCIALIZADOR
ERUYA,"EÓLICA DE LA RUYA, S.L.",GENERACIÓN RECORE
ESALZ,ESTACION DE SERVICIO A.L.Z S.L,CONSUMIDOR DIRECTO
ESAVI,"EÓLICA SIERRA DE ÁVILA, S.L.",GENERACIÓN RECORE
ESBG,"ESBRUG, S.L.",GENERACIÓN RECORE
ESBUS,ESTACIÓN CENTRAL DE AUTOBUSES DE ZARAGOZA S.A.,CONSUMIDOR DIRECTO
ESCEP,PARQUE EOLICO ESCEPAR,GENERACIÓN RECORE
ESCRS,ESCARNES SOLAR SL,GENERACIÓN
ESD,ELECTRO SAN DIEGO,GENERACIÓN RECORE
ESDOM,"COMERCIALIZADORA LUZ RURAL, S.L.",COMERCIALIZADOR
ESERO,"ELÉCTRICA SEROSENSE, S.L.",COMERCIALIZADOR
ESHAN,HANWHA ENERGY RETAIL SPAIN SLU,COMERCIALIZADOR
ESHIN,"EVERSHINING ENERGY, SOCIEDAD LIMITADA",COMERCIALIZADOR
ESIER,ENERGIA SIERREZUELA SL,GENERACIÓN
ESMER,"ESMERALDA SOLAR, S.L",GENERACIÓN
